DN_DT,Bevölkerung_2023,Increase_rate,Bevölkerung_2070,coef_a,coef_b
Alb-Donau-Kreis (Landkreis),201769,-90,20177,-7906631.76950629,60389713.27693353
Alb-Donau-Kreis (Landkreis),201769,-80,40354,-7028112.290601226,53702127.08549509
Alb-Donau-Kreis (Landkreis),201769,-70,60531,-6149592.8116961615,47014540.89405666
Alb-Donau-Kreis (Landkreis),201769,-60,80708,-5271073.332791097,40326954.702618234
Alb-Donau-Kreis (Landkreis),201769,-50,100884,-4392597.394525321,33639699.95719217
Alb-Donau-Kreis (Landkreis),201769,-40,121061,-3514077.9156202567,26952113.76575373
Alb-Donau-Kreis (Landkreis),201769,-30,141238,-2635558.4367151926,20264527.5743153
Alb-Donau-Kreis (Landkreis),201769,-20,161415,-1757038.9578101283,13576941.382876866
Alb-Donau-Kreis (Landkreis),201769,-10,181592,-878519.4789050642,6889355.191438433
Alb-Donau-Kreis (Landkreis),201769,0,201769,0.0,201769.0
Alb-Donau-Kreis (Landkreis),201769,10,221946,878519.4789050642,-6485817.191438433
Alb-Donau-Kreis (Landkreis),201769,20,242123,1757038.9578101283,-13173403.382876866
Alb-Donau-Kreis (Landkreis),201769,30,262300,2635558.4367151926,-19860989.5743153
Alb-Donau-Kreis (Landkreis),201769,40,282477,3514077.9156202567,-26548575.76575373
Alb-Donau-Kreis (Landkreis),201769,50,302654,4392597.394525321,-33236161.957192164
Alb-Donau-Kreis (Landkreis),201769,60,322830,5271073.332791097,-39923416.702618234
Alb-Donau-Kreis (Landkreis),201769,70,343007,6149592.8116961615,-46611002.89405666
Alb-Donau-Kreis (Landkreis),201769,80,363184,7028112.290601226,-53298589.08549509
Alb-Donau-Kreis (Landkreis),201769,90,383361,7906631.76950629,-59986175.27693353
Alb-Donau-Kreis (Landkreis),201769,100,403538,8785151.248411354,-66673761.46837196
Baden-Baden (kreisfreie Stadt),56526,-90,5653,-2215042.942475954,16918178.98691814
Baden-Baden (kreisfreie Stadt),56526,-80,11305,-1968951.2492226746,15044846.125045218
Baden-Baden (kreisfreie Stadt),56526,-70,16958,-1722816.0153301074,13171181.817159928
Baden-Baden (kreisfreie Stadt),56526,-60,22610,-1476724.322076828,11297848.955287004
Baden-Baden (kreisfreie Stadt),56526,-50,28263,-1230589.0881842608,9424184.647401717
Baden-Baden (kreisfreie Stadt),56526,-40,33916,-984453.8542916935,7550520.339516427
Baden-Baden (kreisfreie Stadt),56526,-30,39568,-738362.161038414,5677187.477643502
Baden-Baden (kreisfreie Stadt),56526,-20,45221,-492226.92714584677,3803523.1697582137
Baden-Baden (kreisfreie Stadt),56526,-10,50873,-246135.23389256716,1930190.307885288
Baden-Baden (kreisfreie Stadt),56526,0,56526,0.0,56526.0
Baden-Baden (kreisfreie Stadt),56526,10,62179,246135.23389256716,-1817138.307885288
Baden-Baden (kreisfreie Stadt),56526,20,67831,492226.92714584677,-3690471.1697582137
Baden-Baden (kreisfreie Stadt),56526,30,73484,738362.161038414,-5564135.477643502
Baden-Baden (kreisfreie Stadt),56526,40,79136,984453.8542916935,-7437468.339516427
Baden-Baden (kreisfreie Stadt),56526,50,84789,1230589.0881842608,-9311132.647401717
Baden-Baden (kreisfreie Stadt),56526,60,90442,1476724.322076828,-11184796.955287004
Baden-Baden (kreisfreie Stadt),56526,70,96094,1722816.0153301074,-13058129.817159928
Baden-Baden (kreisfreie Stadt),56526,80,101747,1968951.2492226746,-14931794.125045218
Baden-Baden (kreisfreie Stadt),56526,90,107399,2215042.942475954,-16805126.98691814
Baden-Baden (kreisfreie Stadt),56526,100,113052,2461178.1763685215,-18678791.294803433
Biberach (Landkreis),206783,-90,20678,-8103130.67461104,61890543.13072555
Biberach (Landkreis),206783,-80,41357,-7202753.794783622,55036571.04108114
Biberach (Landkreis),206783,-70,62035,-6302420.455595491,48182930.39744908
Biberach (Landkreis),206783,-60,82713,-5402087.116407361,41329289.75381704
Biberach (Landkreis),206783,-50,103392,-4501710.236579942,34475317.66417262
Biberach (Landkreis),206783,-40,124070,-3601376.897391811,27621677.02054057
Biberach (Landkreis),206783,-30,144748,-2701043.5582036804,20768036.37690852
Biberach (Landkreis),206783,-20,165426,-1800710.2190155494,13914395.733276466
Biberach (Landkreis),206783,-10,186105,-900333.3391881309,7060423.643632052
Biberach (Landkreis),206783,0,206783,0.0,206783.0
Biberach (Landkreis),206783,10,227461,900333.3391881309,-6646857.643632052
Biberach (Landkreis),206783,20,248140,1800710.2190155494,-13500829.733276466
Biberach (Landkreis),206783,30,268818,2701043.5582036804,-20354470.37690852
Biberach (Landkreis),206783,40,289496,3601376.897391811,-27208111.02054057
Biberach (Landkreis),206783,50,310174,4501710.236579942,-34061751.66417262
Biberach (Landkreis),206783,60,330853,5402087.116407361,-40915723.75381704
Biberach (Landkreis),206783,70,351531,6302420.455595491,-47769364.39744908
Biberach (Landkreis),206783,80,372209,7202753.794783622,-54623005.04108114
Biberach (Landkreis),206783,90,392888,8103130.67461104,-61476977.13072555
Biberach (Landkreis),206783,100,413566,9003464.013799172,-68330617.7743576
Bodenseekreis (Landkreis),221208,-90,22121,-8668375.253842123,66207800.2632157
Bodenseekreis (Landkreis),221208,-80,44242,-7705212.772162045,58875883.023744546
Bodenseekreis (Landkreis),221208,-70,66362,-6742093.831121256,51544297.23028575
Bodenseekreis (Landkreis),221208,-60,88483,-5778931.349441178,44212379.99081459
Bodenseekreis (Landkreis),221208,-50,110604,-4815768.867761101,36880462.75134344
Bodenseekreis (Landkreis),221208,-40,132725,-3852606.3860810227,29548545.511872273
Bodenseekreis (Landkreis),221208,-30,154846,-2889443.904400945,22216628.272401113
Bodenseekreis (Landkreis),221208,-20,176966,-1926324.963360155,14885042.478942316
Bodenseekreis (Landkreis),221208,-10,199087,-963162.4816800775,7553125.239471158
Bodenseekreis (Landkreis),221208,0,221208,0.0,221208.0
Bodenseekreis (Landkreis),221208,10,243329,963162.4816800775,-7110709.239471158
Bodenseekreis (Landkreis),221208,20,265450,1926324.963360155,-14442626.478942316
Bodenseekreis (Landkreis),221208,30,287570,2889443.904400945,-21774212.272401113
Bodenseekreis (Landkreis),221208,40,309691,3852606.3860810227,-29106129.511872273
Bodenseekreis (Landkreis),221208,50,331812,4815768.867761101,-36438046.75134344
Bodenseekreis (Landkreis),221208,60,353933,5778931.349441178,-43769963.99081459
Bodenseekreis (Landkreis),221208,70,376054,6742093.831121256,-51101881.23028575
Bodenseekreis (Landkreis),221208,80,398174,7705212.772162045,-58433467.023744546
Bodenseekreis (Landkreis),221208,90,420295,8668375.253842123,-65765384.2632157
Bodenseekreis (Landkreis),221208,100,442416,9631537.735522201,-73097301.50268687
Breisgau-Hochschwarzwald (Landkreis),271977,-90,27198,-10657834.144169237,81403000.46008366
Breisgau-Hochschwarzwald (Landkreis),271977,-80,54395,-9473659.377465514,72388663.26186039
Breisgau-Hochschwarzwald (Landkreis),271977,-70,81593,-8289441.070122503,63373994.617624745
Breisgau-Hochschwarzwald (Landkreis),271977,-60,108791,-7105222.762779492,54359325.97338911
Breisgau-Hochschwarzwald (Landkreis),271977,-50,135988,-5921047.996075768,45344988.77516583
Breisgau-Hochschwarzwald (Landkreis),271977,-40,163186,-4736829.688732757,36330320.13093019
Breisgau-Hochschwarzwald (Landkreis),271977,-30,190384,-3552611.381389746,27315651.486694556
Breisgau-Hochschwarzwald (Landkreis),271977,-20,217582,-2368393.0740467347,18300982.842458915
Breisgau-Hochschwarzwald (Landkreis),271977,-10,244779,-1184218.307343011,9286645.644235639
Breisgau-Hochschwarzwald (Landkreis),271977,0,271977,0.0,271977.0
Breisgau-Hochschwarzwald (Landkreis),271977,10,299175,1184218.307343011,-8742691.644235639
Breisgau-Hochschwarzwald (Landkreis),271977,20,326372,2368393.0740467347,-17757028.842458915
Breisgau-Hochschwarzwald (Landkreis),271977,30,353570,3552611.381389746,-26771697.486694556
Breisgau-Hochschwarzwald (Landkreis),271977,40,380768,4736829.688732757,-35786366.13093019
Breisgau-Hochschwarzwald (Landkreis),271977,50,407966,5921047.996075768,-44801034.77516583
Breisgau-Hochschwarzwald (Landkreis),271977,60,435163,7105222.762779492,-53815371.97338911
Breisgau-Hochschwarzwald (Landkreis),271977,70,462361,8289441.070122503,-62830040.617624745
Breisgau-Hochschwarzwald (Landkreis),271977,80,489559,9473659.377465514,-71844709.26186039
Breisgau-Hochschwarzwald (Landkreis),271977,90,516756,10657834.144169237,-80859046.46008366
Breisgau-Hochschwarzwald (Landkreis),271977,100,543954,11842052.45151225,-89873715.1043193
Böblingen (Landkreis),394261,-90,39426,-15449742.741600756,118002906.79665244
Böblingen (Landkreis),394261,-80,78852,-13733109.49704948,104935316.31324798
Böblingen (Landkreis),394261,-70,118278,-12016476.252498208,91867725.82984354
Böblingen (Landkreis),394261,-60,157704,-10299843.007946933,78800135.34643908
Böblingen (Landkreis),394261,-50,197130,-8583209.76339566,65732544.86303463
Böblingen (Landkreis),394261,-40,236557,-6866532.978205097,52664622.93361781
Böblingen (Landkreis),394261,-30,275983,-5149899.733653823,39597032.45021336
Böblingen (Landkreis),394261,-20,315409,-3433266.4891025485,26529441.966808904
Böblingen (Landkreis),394261,-10,354835,-1716633.2445512742,13461851.483404452
Böblingen (Landkreis),394261,0,394261,0.0,394261.0
Böblingen (Landkreis),394261,10,433687,1716633.2445512742,-12673329.483404452
Böblingen (Landkreis),394261,20,473113,3433266.4891025485,-25740919.966808904
Böblingen (Landkreis),394261,30,512539,5149899.733653823,-38808510.45021336
Böblingen (Landkreis),394261,40,551965,6866532.978205097,-51876100.93361781
Böblingen (Landkreis),394261,50,591392,8583209.76339566,-64944022.86303463
Böblingen (Landkreis),394261,60,630818,10299843.007946933,-78011613.34643908
Böblingen (Landkreis),394261,70,670244,12016476.252498208,-91079203.82984354
Böblingen (Landkreis),394261,80,709670,13733109.49704948,-104146794.31324798
Böblingen (Landkreis),394261,90,749096,15449742.741600756,-117214384.79665244
Böblingen (Landkreis),394261,100,788522,17166375.98615203,-130281975.2800569
Calw (Landkreis),161181,-90,16118,-6316135.756971072,48241733.89134328
Calw (Landkreis),161181,-80,32236,-5614347.732934208,42899487.06408429
Calw (Landkreis),161181,-70,48354,-4912559.708897342,37557240.236825295
Calw (Landkreis),161181,-60,64472,-4210771.684860477,32214993.409566306
Calw (Landkreis),161181,-50,80590,-3508983.6608236125,26872746.582307316
Calw (Landkreis),161181,-40,96709,-2807152.09614746,21530168.309035964
Calw (Landkreis),161181,-30,112827,-2105364.0721105947,16187921.481776971
Calw (Landkreis),161181,-20,128945,-1403576.04807373,10845674.654517982
Calw (Landkreis),161181,-10,145063,-701788.024036865,5503427.827258991
Calw (Landkreis),161181,0,161181,0.0,161181.0
Calw (Landkreis),161181,10,177299,701788.024036865,-5181065.827258991
Calw (Landkreis),161181,20,193417,1403576.04807373,-10523312.654517982
Calw (Landkreis),161181,30,209535,2105364.0721105947,-15865559.481776971
Calw (Landkreis),161181,40,225653,2807152.09614746,-21207806.309035964
Calw (Landkreis),161181,50,241772,3508983.6608236125,-26550384.582307316
Calw (Landkreis),161181,60,257890,4210771.684860477,-31892631.409566306
Calw (Landkreis),161181,70,274008,4912559.708897342,-37234878.236825295
Calw (Landkreis),161181,80,290126,5614347.732934208,-42577125.06408429
Calw (Landkreis),161181,90,306244,6316135.756971072,-47919371.89134328
Calw (Landkreis),161181,100,322362,7017923.781007937,-53261618.71860227
Emmendingen (Landkreis),169470,-90,16947,-6640948.926056257,50722610.14356763
Emmendingen (Landkreis),169470,-80,33894,-5903065.712050007,45105594.572060116
Emmendingen (Landkreis),169470,-70,50841,-5165182.498043756,39488579.0005526
Emmendingen (Landkreis),169470,-60,67788,-4427299.284037505,33871563.42904509
Emmendingen (Landkreis),169470,-50,84735,-3689416.070031254,28254547.85753757
Emmendingen (Landkreis),169470,-40,101682,-2951532.8560250034,22637532.286030058
Emmendingen (Landkreis),169470,-30,118629,-2213649.6420187526,17020516.714522544
Emmendingen (Landkreis),169470,-20,135576,-1475766.4280125017,11403501.143015029
Emmendingen (Landkreis),169470,-10,152523,-737883.2140062508,5786485.571507514
Emmendingen (Landkreis),169470,0,169470,0.0,169470.0
Emmendingen (Landkreis),169470,10,186417,737883.2140062508,-5447545.571507514
Emmendingen (Landkreis),169470,20,203364,1475766.4280125017,-11064561.143015029
Emmendingen (Landkreis),169470,30,220311,2213649.6420187526,-16681576.714522544
Emmendingen (Landkreis),169470,40,237258,2951532.8560250034,-22298592.286030058
Emmendingen (Landkreis),169470,50,254205,3689416.070031254,-27915607.85753757
Emmendingen (Landkreis),169470,60,271152,4427299.284037505,-33532623.42904509
Emmendingen (Landkreis),169470,70,288099,5165182.498043756,-39149639.0005526
Emmendingen (Landkreis),169470,80,305046,5903065.712050007,-44766654.572060116
Emmendingen (Landkreis),169470,90,321993,6640948.926056257,-50383670.14356763
Emmendingen (Landkreis),169470,100,338940,7378832.140062508,-56000685.71507514
Enzkreis (Landkreis),199878,-90,19988,-7832525.601438866,59823701.16389253
Enzkreis (Landkreis),199878,-80,39976,-6962235.30335915,53198758.26879061
Enzkreis (Landkreis),199878,-70,59963,-6091988.545918722,46574146.81970105
Enzkreis (Landkreis),199878,-60,79951,-5221698.247839007,39949203.92459914
Enzkreis (Landkreis),199878,-50,99939,-4351407.949759291,33324261.029497225
Enzkreis (Landkreis),199878,-40,119927,-3481117.651679575,26699318.134395305
Enzkreis (Landkreis),199878,-30,139915,-2610827.3535998594,20074375.23929339
Enzkreis (Landkreis),199878,-20,159902,-1740580.5961594314,13449763.790203836
Enzkreis (Landkreis),199878,-10,179890,-870290.2980797157,6824820.895101918
Enzkreis (Landkreis),199878,0,199878,0.0,199878.0
Enzkreis (Landkreis),199878,10,219866,870290.2980797157,-6425064.895101918
Enzkreis (Landkreis),199878,20,239854,1740580.5961594314,-13050007.790203836
Enzkreis (Landkreis),199878,30,259841,2610827.3535998594,-19674619.23929339
Enzkreis (Landkreis),199878,40,279829,3481117.651679575,-26299562.134395305
Enzkreis (Landkreis),199878,50,299817,4351407.949759291,-32924505.029497225
Enzkreis (Landkreis),199878,60,319805,5221698.247839007,-39549447.92459914
Enzkreis (Landkreis),199878,70,339793,6091988.545918722,-46174390.81970105
Enzkreis (Landkreis),199878,80,359780,6962235.30335915,-52799002.26879061
Enzkreis (Landkreis),199878,90,379768,7832525.601438866,-59423945.16389253
Enzkreis (Landkreis),199878,100,399756,8702815.899518581,-66048888.05899445
Esslingen (Landkreis),536027,-90,53603,-21005049.367661033,160433538.06797314
Esslingen (Landkreis),536027,-80,107205,-18671184.020569332,142667368.9133177
Esslingen (Landkreis),536027,-70,160808,-16337275.132838344,124900868.3126499
Esslingen (Landkreis),536027,-60,214411,-14003366.245107356,107134367.7119821
Esslingen (Landkreis),536027,-50,268014,-11669457.357376367,89367867.1113143
Esslingen (Landkreis),536027,-40,321616,-9335592.010284666,71601697.95665886
Esslingen (Landkreis),536027,-30,375219,-7001683.122553678,53835197.35599105
Esslingen (Landkreis),536027,-20,428822,-4667774.23482269,36068696.755323246
Esslingen (Landkreis),536027,-10,482424,-2333908.8877309887,18302527.600667804
Esslingen (Landkreis),536027,0,536027,0.0,536027.0
Esslingen (Landkreis),536027,10,589630,2333908.8877309887,-17230473.600667804
Esslingen (Landkreis),536027,20,643232,4667774.23482269,-34996642.755323246
Esslingen (Landkreis),536027,30,696835,7001683.122553678,-52763143.35599105
Esslingen (Landkreis),536027,40,750438,9335592.010284666,-70529643.95665886
Esslingen (Landkreis),536027,50,804040,11669457.357376367,-88295813.1113143
Esslingen (Landkreis),536027,60,857643,14003366.245107356,-106062313.7119821
Esslingen (Landkreis),536027,70,911246,16337275.132838344,-123828814.3126499
Esslingen (Landkreis),536027,80,964849,18671184.020569332,-141595314.9133177
Esslingen (Landkreis),536027,90,1018451,21005049.367661033,-159361484.06797314
Esslingen (Landkreis),536027,100,1072054,23338958.255392022,-177127984.66864097
Freiburg im Breisgau (kreisfreie Stadt),236236,-90,23624,-9257262.40020635,70705635.5804187
Freiburg im Breisgau (kreisfreie Stadt),236236,-80,47247,-8228701.878316359,62875886.43037904
Freiburg im Breisgau (kreisfreie Stadt),236236,-70,70871,-7200097.815787082,55045805.83432703
Freiburg im Breisgau (kreisfreie Stadt),236236,-60,94494,-6171537.293897091,47216056.68428738
Freiburg im Breisgau (kreisfreie Stadt),236236,-50,118118,-5142933.231367813,39385976.088235356
Freiburg im Breisgau (kreisfreie Stadt),236236,-40,141742,-4114329.168838536,31555895.492183343
Freiburg im Breisgau (kreisfreie Stadt),236236,-30,165365,-3085768.6469485457,23726146.34214369
Freiburg im Breisgau (kreisfreie Stadt),236236,-20,188989,-2057164.584419268,15896065.746091671
Freiburg im Breisgau (kreisfreie Stadt),236236,-10,212612,-1028604.0625292778,8066316.596052016
Freiburg im Breisgau (kreisfreie Stadt),236236,0,236236,0.0,236236.0
Freiburg im Breisgau (kreisfreie Stadt),236236,10,259860,1028604.0625292778,-7593844.596052016
Freiburg im Breisgau (kreisfreie Stadt),236236,20,283483,2057164.584419268,-15423593.746091671
Freiburg im Breisgau (kreisfreie Stadt),236236,30,307107,3085768.6469485457,-23253674.34214369
Freiburg im Breisgau (kreisfreie Stadt),236236,40,330730,4114329.168838536,-31083423.492183343
Freiburg im Breisgau (kreisfreie Stadt),236236,50,354354,5142933.231367813,-38913504.088235356
Freiburg im Breisgau (kreisfreie Stadt),236236,60,377978,6171537.293897091,-46743584.68428738
Freiburg im Breisgau (kreisfreie Stadt),236236,70,401601,7200097.815787082,-54573333.83432703
Freiburg im Breisgau (kreisfreie Stadt),236236,80,425225,8228701.878316359,-62403414.43037904
Freiburg im Breisgau (kreisfreie Stadt),236236,90,448848,9257262.40020635,-70233163.5804187
Freiburg im Breisgau (kreisfreie Stadt),236236,100,472472,10285866.462735627,-78063244.17647071
Freudenstadt (Landkreis),121901,-90,12190,-4776887.076877311,36485174.462303706
Freudenstadt (Landkreis),121901,-80,24380,-4246126.683961974,32444847.571604665
Freudenstadt (Landkreis),121901,-70,36570,-3715366.291046639,28404520.68090563
Freudenstadt (Landkreis),121901,-60,48760,-3184605.898131303,24364193.790206593
Freudenstadt (Landkreis),121901,-50,60950,-2653845.505215967,20323866.899507552
Freudenstadt (Landkreis),121901,-40,73141,-2123041.571661344,16283208.562796153
Freudenstadt (Landkreis),121901,-30,85331,-1592281.1787460076,12242881.672097113
Freudenstadt (Landkreis),121901,-20,97521,-1061520.785830672,8202554.781398077
Freudenstadt (Landkreis),121901,-10,109711,-530760.392915336,4162227.8906990383
Freudenstadt (Landkreis),121901,0,121901,0.0,121901.0
Freudenstadt (Landkreis),121901,10,134091,530760.392915336,-3918425.8906990383
Freudenstadt (Landkreis),121901,20,146281,1061520.785830672,-7958752.781398077
Freudenstadt (Landkreis),121901,30,158471,1592281.1787460076,-11999079.672097113
Freudenstadt (Landkreis),121901,40,170661,2123041.571661344,-16039406.562796153
Freudenstadt (Landkreis),121901,50,182852,2653845.505215967,-20080064.899507552
Freudenstadt (Landkreis),121901,60,195042,3184605.898131303,-24120391.790206593
Freudenstadt (Landkreis),121901,70,207232,3715366.291046639,-28160718.68090563
Freudenstadt (Landkreis),121901,80,219422,4246126.683961974,-32201045.571604665
Freudenstadt (Landkreis),121901,90,231612,4776887.076877311,-36241372.462303706
Freudenstadt (Landkreis),121901,100,243802,5307647.469792646,-40281699.35300274
Göppingen (Landkreis),259232,-90,25923,-10158423.011540944,77588569.69828564
Göppingen (Landkreis),259232,-80,51846,-9029719.01928957,68996494.7198122
Göppingen (Landkreis),259232,-70,77770,-7900971.486398907,60404088.295326404
Göppingen (Landkreis),259232,-60,103693,-6772267.494147534,51812013.31685297
Göppingen (Landkreis),259232,-50,129616,-5643563.501896159,43219938.33837953
Göppingen (Landkreis),259232,-40,155539,-4514859.509644785,34627863.3599061
Göppingen (Landkreis),259232,-30,181462,-3386155.51739341,26035788.381432664
Göppingen (Landkreis),259232,-20,207386,-2257407.9845027486,17443381.95694687
Göppingen (Landkreis),259232,-10,233309,-1128703.9922513743,8851306.978473434
Göppingen (Landkreis),259232,0,259232,0.0,259232.0
Göppingen (Landkreis),259232,10,285155,1128703.9922513743,-8332842.978473434
Göppingen (Landkreis),259232,20,311078,2257407.9845027486,-16924917.95694687
Göppingen (Landkreis),259232,30,337002,3386155.51739341,-25517324.381432664
Göppingen (Landkreis),259232,40,362925,4514859.509644785,-34109399.3599061
Göppingen (Landkreis),259232,50,388848,5643563.501896159,-42701474.33837953
Göppingen (Landkreis),259232,60,414771,6772267.494147534,-51293549.31685297
Göppingen (Landkreis),259232,70,440694,7900971.486398907,-59885624.295326404
Göppingen (Landkreis),259232,80,466618,9029719.01928957,-68478030.7198122
Göppingen (Landkreis),259232,90,492541,10158423.011540944,-77070105.69828564
Göppingen (Landkreis),259232,100,518464,11287127.003792318,-85662180.67675906
Heidelberg (kreisfreie Stadt),155175,-90,15518,-6080755.060982532,46443930.74851153
Heidelberg (kreisfreie Stadt),155175,-80,31035,-5405134.96115749,41300882.97468241
Heidelberg (kreisfreie Stadt),155175,-70,46552,-4729514.861332447,36157835.20085329
Heidelberg (kreisfreie Stadt),155175,-60,62070,-4053851.220868117,31014455.981011808
Heidelberg (kreisfreie Stadt),155175,-50,77588,-3378187.580403787,25871076.761170324
Heidelberg (kreisfreie Stadt),155175,-40,93105,-2702567.480578745,20728028.987341207
Heidelberg (kreisfreie Stadt),155175,-30,108622,-2026947.3807537025,15584981.213512085
Heidelberg (kreisfreie Stadt),155175,-20,124140,-1351283.7402893724,10441601.993670603
Heidelberg (kreisfreie Stadt),155175,-10,139658,-675620.0998250424,5298222.77382912
Heidelberg (kreisfreie Stadt),155175,0,155175,0.0,155175.0
Heidelberg (kreisfreie Stadt),155175,10,170692,675620.0998250424,-4987872.77382912
Heidelberg (kreisfreie Stadt),155175,20,186210,1351283.7402893724,-10131251.993670603
Heidelberg (kreisfreie Stadt),155175,30,201728,2026947.3807537025,-15274631.213512085
Heidelberg (kreisfreie Stadt),155175,40,217245,2702567.480578745,-20417678.987341207
Heidelberg (kreisfreie Stadt),155175,50,232762,3378187.580403787,-25560726.761170324
Heidelberg (kreisfreie Stadt),155175,60,248280,4053851.220868117,-30704105.981011808
Heidelberg (kreisfreie Stadt),155175,70,263798,4729514.861332447,-35847485.20085329
Heidelberg (kreisfreie Stadt),155175,80,279315,5405134.96115749,-40990532.97468241
Heidelberg (kreisfreie Stadt),155175,90,294832,6080755.060982532,-46133580.74851153
Heidelberg (kreisfreie Stadt),155175,100,310350,6756418.701446862,-51276959.96835301
Heidenheim (Landkreis),135241,-90,13524,-5299635.992163735,40477855.28672804
Heidenheim (Landkreis),135241,-80,27048,-4710792.386438797,35995379.41553741
Heidenheim (Landkreis),135241,-70,40572,-4121948.7807138585,31512903.54434678
Heidenheim (Landkreis),135241,-60,54096,-3533105.17498892,27030427.67315615
Heidenheim (Landkreis),135241,-50,67620,-2944261.569263981,22547951.80196552
Heidenheim (Landkreis),135241,-40,81145,-2355374.4228997547,18065144.484762523
Heidenheim (Landkreis),135241,-30,94669,-1766530.817174816,13582668.613571893
Heidenheim (Landkreis),135241,-20,108193,-1177687.2114498774,9100192.742381262
Heidenheim (Landkreis),135241,-10,121717,-588843.6057249387,4617716.871190631
Heidenheim (Landkreis),135241,0,135241,0.0,135241.0
Heidenheim (Landkreis),135241,10,148765,588843.6057249387,-4347234.871190631
Heidenheim (Landkreis),135241,20,162289,1177687.2114498774,-8829710.742381262
